anio,mes,lpei,lpi,desagregacion
2000,Oct,448.59,1007.05,Rural
2000,Oct,606.61,1589.07,Urbano
2000,Nov,452.25,1017.81,Rural
2000,Nov,611.21,1606.03,Urbano
2000,Dic,464.97,1033.77,Rural
2000,Dic,624.65,1624.51,Urbano
2001,Ene,464.16,1035.98,Rural
2001,Ene,625.18,1629.6,Urbano
2001,Feb,452.89,1028.56,Rural
2001,Feb,615.4,1625.24,Urbano
2001,Mar,455.05,1033.72,Rural
2001,Mar,617.81,1639.97,Urbano
2001,Abr,458.93,1038.67,Rural
2001,Abr,622.3,1644.94,Urbano
2001,May,463.29,1040.46,Rural
2001,May,627,1643.14,Urbano
2001,Jun,463.41,1042.49,Rural
2001,Jun,628.62,1647.32,Urbano
2001,Jul,461.34,1040.74,Rural
2001,Jul,627.61,1645.26,Urbano
2001,Ago,467.32,1048.83,Rural
2001,Ago,633.33,1653.98,Urbano
2001,Sep,470.06,1057.35,Rural
2001,Sep,635.99,1667.45,Urbano
2001,Oct,475.13,1063.84,Rural
2001,Oct,640.66,1675.39,Urbano
2001,Nov,477.16,1071.51,Rural
2001,Nov,643.41,1688.71,Urbano
2001,Dic,479.64,1075.82,Rural
2001,Dic,646.93,1694.2,Urbano
2002,Ene,485.12,1084.01,Rural
2002,Ene,654.15,1706.36,Urbano
2002,Feb,472.25,1078.88,Rural
2002,Feb,643.42,1709.28,Urbano
2002,Mar,472.74,1081.64,Rural
2002,Mar,644.52,1715.41,Urbano
2002,Abr,478.06,1087.74,Rural
2002,Abr,649.64,1721.59,Urbano
2002,May,482.12,1087.66,Rural
2002,May,653.57,1718.19,Urbano
2002,Jun,486.24,1092.26,Rural
2002,Jun,658.66,1724.53,Urbano
2002,Jul,489.82,1095.75,Rural
2002,Jul,662.79,1728.62,Urbano
2002,Ago,489.69,1097.84,Rural
2002,Ago,663.46,1732.96,Urbano
2002,Sep,488.28,1101.37,Rural
2002,Sep,662.41,1742.04,Urbano
2002,Oct,488.1,1103.38,Rural
2002,Oct,662.19,1747.32,Urbano
2002,Nov,493.05,1115.34,Rural
2002,Nov,667.65,1765.01,Urbano
2002,Dic,505.07,1126.77,Rural
2002,Dic,679.71,1776.33,Urbano
2003,Ene,504.88,1128.79,Rural
2003,Ene,681.29,1782.55,Urbano
2003,Feb,501.43,1128.13,Rural
2003,Feb,679.8,1785.24,Urbano
2003,Mar,511.4,1140.45,Rural
2003,Mar,690.72,1799.95,Urbano
2003,Abr,505.47,1134.21,Rural
2003,Abr,684.96,1793.67,Urbano
2003,May,506.44,1128.35,Rural
2003,May,685.71,1781.82,Urbano
2003,Jun,507.38,1129.65,Rural
2003,Jun,687.14,1783.57,Urbano
2003,Jul,511.72,1133.73,Rural
2003,Jul,691.33,1787.2,Urbano
2003,Ago,510.17,1134.82,Rural
2003,Ago,690.36,1790.88,Urbano
2003,Sep,514.42,1143.7,Rural
2003,Sep,694.73,1803.91,Urbano
2003,Oct,517.17,1148.68,Rural
2003,Oct,697.49,1810.18,Urbano
2003,Nov,523.12,1163.65,Rural
2003,Nov,704.4,1831.96,Urbano
2003,Dic,534.44,1175.46,Rural
2003,Dic,716.69,1845.28,Urbano
2004,Ene,533.96,1179.26,Rural
2004,Ene,718.79,1852.01,Urbano
2004,Feb,530.18,1179.54,Rural
2004,Feb,716.62,1855.56,Urbano
2004,Mar,531.18,1183.18,Rural
2004,Mar,717.71,1860.44,Urbano
2004,Abr,535.19,1188.26,Rural
2004,Abr,721.99,1866.06,Urbano
2004,May,537.02,1184.04,Rural
2004,May,723.77,1858.1,Urbano
2004,Jun,530.96,1179.4,Rural
2004,Jun,719.62,1856.8,Urbano
2004,Jul,533.63,1182.9,Rural
2004,Jul,723.18,1862.08,Urbano
2004,Ago,544.08,1195.13,Rural
2004,Ago,733.77,1876.04,Urbano
2004,Sep,557.91,1213.32,Rural
2004,Sep,749.09,1899.83,Urbano
2004,Oct,574.4,1232.85,Rural
2004,Oct,766.24,1922.08,Urbano
2004,Nov,582.05,1249.94,Rural
2004,Nov,774.81,1946.43,Urbano
2004,Dic,576.81,1245.67,Rural
2004,Dic,771.25,1944.58,Urbano
2005,Ene,556.47,1227.91,Rural
2005,Ene,753.34,1929.53,Urbano
2005,Feb,553.55,1226.4,Rural
2005,Feb,751.3,1928.63,Urbano
2005,Mar,560.32,1235.28,Rural
2005,Mar,757.95,1938.51,Urbano
2005,Abr,578.86,1253.4,Rural
2005,Abr,775.87,1955.4,Urbano
2005,May,589.48,1254.93,Rural
2005,May,786.2,1950.01,Urbano
2005,Jun,575.65,1242.47,Rural
2005,Jun,774.35,1940.48,Urbano
2005,Jul,580.37,1247.48,Rural
2005,Jul,779.98,1947.27,Urbano
2005,Ago,578.25,1247,Rural
2005,Ago,778.91,1949.09,Urbano
2005,Sep,578.39,1252.14,Rural
2005,Sep,780.54,1959.6,Urbano
2005,Oct,573.51,1251.13,Rural
2005,Oct,776.32,1962.43,Urbano
2005,Nov,566.96,1256.36,Rural
2005,Nov,770.25,1977.11,Urbano
2005,Dic,582.09,1273.84,Rural
2005,Dic,785.46,1996.01,Urbano
2006,Ene,594.29,1288.76,Rural
2006,Ene,798.32,2013.61,Urbano
2006,Feb,592.85,1288.61,Rural
2006,Feb,796.75,2012.57,Urbano
2006,Mar,582.06,1280.44,Rural
2006,Mar,786.58,2005.95,Urbano
2006,Abr,581.44,1280.32,Rural
2006,Abr,786.25,2005.96,Urbano
2006,May,586.76,1275.01,Rural
2006,May,792.17,1993.73,Urbano
2006,Jun,581.15,1271.02,Rural
2006,Jun,787.82,1991.55,Urbano
2006,Jul,581.93,1272.94,Rural
2006,Jul,789.72,1995.05,Urbano
2006,Ago,592.9,1286.67,Rural
2006,Ago,799.7,2008.49,Urbano
2006,Sep,622.43,1319.65,Rural
2006,Sep,826.06,2041.16,Urbano
2006,Oct,632.02,1332.17,Rural
2006,Oct,835.07,2054.77,Urbano
2006,Nov,620.24,1331.48,Rural
2006,Nov,825.21,2064.52,Urbano
2006,Dic,635.41,1348.82,Rural
2006,Dic,841.96,2084.49,Urbano
2007,Ene,643.07,1358.95,Rural
2007,Ene,850.98,2097.88,Urbano
2007,Feb,640.21,1357.56,Rural
2007,Feb,850.19,2098.95,Urbano
