,iso3,country,year,le_f,country_sp,fem_pop,mmr,gpi,femicides_number
106,CHL,Chile,2011,81.6841,Chile,8651769.0,18.0,1.722,
107,COL,Colombia,2011,78.5479,Colombia,22903701.0,84.0,2.598,
108,CRI,Costa Rica,2011,81.7106,Costa Rica,2330459.0,30.0,1.781,42.0
109,CUB,Cuba,2011,80.0634,Cuba,5659068.0,38.0,2.041,
110,DMA,Dominica,2011,72.9735,Dominica,34025.0,,,0.0
111,DOM,Dominican Republic,2011,75.8556,República Dominicana,4898563.0,95.0,2.094,233.0
112,ECU,Ecuador,2011,78.6754,Ecuador,7615672.0,76.0,2.063,
113,GRD,Grenada,2011,78.0668,Granada,56934.0,28.0,,
114,GTM,Guatemala,2011,74.5251,Guatemala,7324691.0,122.0,2.159,
115,GUY,Guyana,2011,70.5182,Guyana,374340.0,180.0,2.08,
116,HND,Honduras,2011,73.7758,Honduras,4261105.0,72.0,2.232,335.0
117,HTI,Haiti,2011,64.1256,Haití,5006574.0,496.0,2.026,
118,JAM,Jamaica,2011,74.9973,Jamaica,1384402.0,79.0,2.041,
119,KNA,Saint Kitts and Nevis,2011,74.6136,Saint Kitts y Nevis,24200.0,,,
120,LCA,Saint Lucia,2011,75.7958,Santa Lucía,86305.0,116.0,,4.0
121,MEX,Mexico,2011,77.3107,México,58268408.0,43.0,2.326,
122,NIC,Nicaragua,2011,75.5281,Nicaragua,3014669.0,110.0,1.865,
123,PAN,Panama,2011,79.8706,Panamá,1839763.0,76.0,1.811,
124,PER,Peru,2011,76.2984,Perú,14829974.0,102.0,1.98,123.0
125,PRY,Paraguay,2011,74.9344,Paraguay,2902421.0,103.0,1.917,32.0
126,SLV,El Salvador,2011,76.1894,El Salvador,3203792.0,53.0,2.141,
127,SUR,Suriname,2011,73.612,Suriname,275035.0,139.0,,
128,TTO,Trinidad and Tobago,2011,76.41,Trinidad y Tobago,719388.0,72.0,2.096,8.0
129,URY,Uruguay,2011,81.0323,Uruguay,1739923.0,17.0,1.571,26.0
130,VCT,Saint Vincent and the Grenadines,2011,77.3177,San Vicente y las Granadinas,53026.0,64.0,,
131,VEN,Venezuela (Bolivarian Republic of),2011,77.1003,Venezuela,14591553.0,116.0,2.421,
132,ARG,Argentina,2012,79.9531,Argentina,21099001.0,47.0,1.867,
133,ATG,Antigua and Barbuda,2012,79.9614,Antigua y Barbuda,46022.0,44.0,,
134,BHS,Bahamas,2012,75.9225,Bahamas,197810.0,78.0,,
135,BLZ,Belize,2012,76.1299,Belice,167988.0,50.0,,
136,BOL,Bolivia (Plurinational State of),2012,69.3124,Bolivia,5247336.0,192.0,1.998,
137,BRA,Brazil,2012,76.8691,Brasil,101450818.0,60.0,1.965,
138,BRB,Barbados,2012,78.0313,Barbados,144282.0,34.0,,
139,CHL,Chile,2012,81.5956,Chile,8736586.0,17.0,1.643,
140,COL,Colombia,2012,78.7871,Colombia,23149997.0,85.0,2.602,
141,CRI,Costa Rica,2012,81.6199,Costa Rica,2359193.0,29.0,1.719,26.0
142,CUB,Cuba,2012,80.1224,Cuba,5666230.0,39.0,2.076,
143,DMA,Dominica,2012,73.2151,Dominica,34127.0,,,1.0
144,DOM,Dominican Republic,2012,76.1656,República Dominicana,4965013.0,94.0,2.045,196.0
145,ECU,Ecuador,2012,78.8422,Ecuador,7739326.0,71.0,2.035,
146,GRD,Grenada,2012,77.8947,Granada,57486.0,28.0,,
147,GTM,Guatemala,2012,74.7313,Guatemala,7457240.0,118.0,2.202,
148,GUY,Guyana,2012,70.8136,Guyana,374465.0,185.0,1.956,
149,HND,Honduras,2012,74.1692,Honduras,4345369.0,70.0,2.247,319.0
150,HTI,Haiti,2012,64.8042,Haití,5084975.0,500.0,1.976,
151,JAM,Jamaica,2012,74.8192,Jamaica,1390918.0,79.0,2.102,
152,KNA,Saint Kitts and Nevis,2012,74.7947,Saint Kitts y Nevis,24290.0,,,
153,LCA,Saint Lucia,2012,75.7236,Santa Lucía,86816.0,116.0,,1.0
154,MEX,Mexico,2012,77.5347,México,59081795.0,41.0,2.423,
155,NIC,Nicaragua,2012,75.7071,Nicaragua,3059293.0,108.0,1.928,
156,PAN,Panama,2012,79.9911,Panamá,1873251.0,74.0,1.854,
157,PER,Peru,2012,76.6832,Perú,14984154.0,100.0,2.017,122.0
158,PRY,Paraguay,2012,75.2484,Paraguay,2942591.0,98.0,1.963,36.0
159,SLV,El Salvador,2012,76.163,El Salvador,3216582.0,52.0,2.201,
160,SUR,Suriname,2012,73.3464,Suriname,278227.0,134.0,,
161,TTO,Trinidad and Tobago,2012,76.7041,Trinidad y Tobago,724786.0,71.0,2.16,10.0
162,URY,Uruguay,2012,81.1651,Uruguay,1744447.0,17.0,1.602,26.0
163,VCT,Saint Vincent and the Grenadines,2012,77.0456,San Vicente y las Granadinas,52710.0,71.0,,
164,VEN,Venezuela (Bolivarian Republic of),2012,77.4163,Venezuela,14786972.0,116.0,2.304,
165,ARG,Argentina,2013,79.9265,Argentina,21332490.0,44.0,1.972,
166,ATG,Antigua and Barbuda,2013,80.2303,Antigua y Barbuda,46401.0,43.0,,
167,BHS,Bahamas,2013,76.2946,Bahamas,199843.0,78.0,,
168,BLZ,Belize,2013,76.2657,Belice,171620.0,48.0,,
169,BOL,Bolivia (Plurinational State of),2013,69.6628,Bolivia,5335470.0,184.0,1.997,
170,BRA,Brazil,2013,77.1195,Brasil,102366379.0,61.0,2.019,
171,BRB,Barbados,2013,78.2127,Barbados,144561.0,32.0,,
172,CHL,Chile,2013,82.0335,Chile,8821764.0,16.0,1.621,
173,COL,Colombia,2013,78.9723,Colombia,23387544.0,85.0,2.57,
174,CRI,Costa Rica,2013,81.7624,Costa Rica,2387107.0,29.0,1.788,18.0
175,CUB,Cuba,2013,80.1573,Cuba,5674433.0,40.0,2.073,
176,DMA,Dominica,2013,71.3096,Dominica,34077.0,,,3.0
177,DOM,Dominican Republic,2013,76.3222,República Dominicana,5030991.0,94.0,2.059,160.0
178,ECU,Ecuador,2013,78.9974,Ecuador,7859194.0,67.0,2.026,
179,GRD,Grenada,2013,77.9028,Granada,58047.0,27.0,,
180,GTM,Guatemala,2013,74.9274,Guatemala,7590464.0,113.0,2.203,246.0
181,GUY,Guyana,2013,71.1183,Guyana,377010.0,175.0,1.967,
182,HND,Honduras,2013,74.4967,Honduras,4429055.0,69.0,2.14,408.0
183,HTI,Haiti,2013,65.2107,Haití,5162748.0,496.0,1.926,
184,JAM,Jamaica,2013,74.555,Jamaica,1397059.0,79.0,2.046,
185,KNA,Saint Kitts and Nevis,2013,75.196,Saint Kitts y Nevis,24339.0,,,
186,LCA,Saint Lucia,2013,75.7814,Santa Lucía,87284.0,108.0,,0.0
187,MEX,Mexico,2013,77.7058,México,59862821.0,39.0,2.381,
188,NIC,Nicaragua,2013,75.7627,Nicaragua,3104267.0,105.0,1.887,
189,PAN,Panama,2013,80.138,Panamá,1906929.0,66.0,1.801,
190,PER,Peru,2013,77.0826,Perú,15143939.0,98.0,2.001,111.0
191,PRY,Paraguay,2013,75.4895,Paraguay,2984194.0,94.0,2.065,25.0
192,SLV,El Salvador,2013,76.1583,El Salvador,3229694.0,50.0,2.148,
193,SUR,Suriname,2013,73.176,Suriname,281345.0,129.0,,
194,TTO,Trinidad and Tobago,2013,77.0691,Trinidad y Tobago,730188.0,70.0,2.031,12.0
195,URY,Uruguay,2013,81.2801,Uruguay,1749192.0,18.0,1.622,23.0
196,VCT,Saint Vincent and the Grenadines,2013,76.5477,San Vicente y las Granadinas,52397.0,73.0,,
197,VEN,Venezuela (Bolivarian Republic of),2013,77.3229,Venezuela,14978971.0,115.0,2.287,
198,ARG,Argentina,2014,80.0035,Argentina,21562981.0,42.0,1.882,225.0
199,ATG,Antigua and Barbuda,2014,80.5354,Antigua y Barbuda,46748.0,42.0,,
200,BHS,Bahamas,2014,76.639,Bahamas,201821.0,77.0,,
201,BLZ,Belize,2014,76.3414,Belice,175274.0,46.0,,
202,BOL,Bolivia (Plurinational State of),2014,69.771,Bolivia,5423617.0,175.0,1.951,
203,BRA,Brazil,2014,77.4319,Brasil,103274465.0,62.0,2.09,
204,BRB,Barbados,2014,78.4364,Barbados,144824.0,31.0,,
205,CHL,Chile,2014,82.1452,Chile,8911559.0,15.0,1.591,
206,COL,Colombia,2014,79.1389,Colombia,23617367.0,85.0,2.601,
207,CRI,Costa Rica,2014,81.2361,Costa Rica,2414032.0,29.0,1.751,24.0
208,CUB,Cuba,2014,80.1661,Cuba,5681712.0,39.0,2.05,
209,DMA,Dominica,2014,72.1177,Dominica,34444.0,,,
210,DOM,Dominican Republic,2014,76.3961,República Dominicana,5096363.0,94.0,2.029,188.0
211,ECU,Ecuador,2014,79.1243,Ecuador,7976779.0,65.0,1.99,27.0
212,GRD,Grenada,2014,78.0045,Granada,58606.0,26.0,,
213,GTM,Guatemala,2014,75.1003,Guatemala,7723659.0,107.0,2.064,214.0
214,GUY,Guyana,2014,71.316,Guyana,380184.0,174.0,1.985,
215,HND,Honduras,2014,74.6319,Honduras,4512235.0,68.0,2.103,290.0
216,HTI,Haiti,2014,65.6837,Haití,5240216.0,492.0,2.018,
217,JAM,Jamaica,2014,74.2101,Jamaica,1402227.0,78.0,2.014,
218,KNA,Saint Kitts and Nevis,2014,74.9284,Saint Kitts y Nevis,24387.0,,,
219,LCA,Saint Lucia,2014,76.1044,Santa Lucía,87752.0,104.0,,0.0
220,MEX,Mexico,2014,77.7819,México,60610526.0,38.0,2.291,
221,NIC,Nicaragua,2014,75.8224,Nicaragua,3149486.0,103.0,1.86,
222,PAN,Panama,2014,80.2994,Panamá,1940824.0,60.0,1.844,34.0
223,PER,Peru,2014,77.4318,Perú,15312249.0,96.0,1.956,100.0
224,PRY,Paraguay,2014,75.6679,Paraguay,3027162.0,91.0,1.988,32.0
225,SLV,El Salvador,2014,76.2671,El Salvador,3242771.0,49.0,2.087,121.0
226,SUR,Suriname,2014,73.1973,Suriname,284406.0,124.0,,
227,TTO,Trinidad and Tobago,2014,77.4069,Trinidad y Tobago,735428.0,69.0,2.002,15.0
228,URY,Uruguay,2014,81.3598,Uruguay,1754081.0,17.0,1.629,18.0
229,VCT,Saint Vincent and the Grenadines,2014,77.4275,San Vicente y las Granadinas,52139.0,69.0,,
230,VEN,Venezuela (Bolivarian Republic of),2014,77.0745,Venezuela,15164502.0,113.0,2.448,74.0
231,ARG,Argentina,2015,80.1877,Argentina,21791541.0,41.0,1.929,235.0
232,ATG,Antigua and Barbuda,2015,80.3888,Antigua y Barbuda,47087.0,43.0,,
233,BHS,Bahamas,2015,76.3718,Bahamas,203844.0,74.0,,
234,BLZ,Belize,2015,76.4857,Belice,178905.0,43.0,,
235,BOL,Bolivia (Plurinational State of),2015,69.9111,Bolivia,5511477.0,168.0,1.966,96.0
236,BRA,Brazil,2015,77.5719,Brasil,104179515.0,63.0,2.09,
237,BRB,Barbados,2015,78.5907,Barbados,145073.0,31.0,,
238,CHL,Chile,2015,82.3839,Chile,9004176.0,14.0,1.608,
239,COL,Colombia,2015,79.2916,Colombia,23847355.0,85.0,2.623,
240,CRI,Costa Rica,2015,81.5686,Costa Rica,2440173.0,28.0,1.693,27.0
241,CUB,Cuba,2015,80.1479,Cuba,5687872.0,38.0,2.033,
242,DMA,Dominica,2015,71.0817,Dominica,34863.0,,,
243,DOM,Dominican Republic,2015,76.3773,República Dominicana,5160958.0,94.0,2.037,98.0
244,ECU,Ecuador,2015,79.2086,Ecuador,8095675.0,63.0,1.966,56.0
245,GRD,Grenada,2015,78.0516,Granada,59160.0,25.0,,
246,GTM,Guatemala,2015,75.1782,Guatemala,7856056.0,103.0,2.074,178.0
247,GUY,Guyana,2015,71.6316,Guyana,383410.0,172.0,2.03,
248,HND,Honduras,2015,74.991,Honduras,4595215.0,67.0,2.075,312.0
249,HTI,Haiti,2015,65.9535,Haití,5317590.0,488.0,2.033,
250,JAM,Jamaica,2015,73.9708,Jamaica,1406816.0,78.0,1.984,
251,KNA,Saint Kitts and Nevis,2015,74.9211,Saint Kitts y Nevis,24430.0,,,
252,LCA,Saint Lucia,2015,76.4009,Santa Lucía,88222.0,115.0,,2.0
253,MEX,Mexico,2015,77.6919,México,61325120.0,36.0,2.225,411.0
254,NIC,Nicaragua,2015,75.925,Nicaragua,3194985.0,101.0,1.948,
255,PAN,Panama,2015,80.5155,Panamá,1975219.0,58.0,1.92,28.0
256,PER,Peru,2015,77.7427,Perú,15496198.0,94.0,1.999,103.0
257,PRY,Paraguay,2015,75.9968,Paraguay,3071251.0,88.0,2.048,23.0
258,SLV,El Salvador,2015,76.5716,El Salvador,3254990.0,48.0,2.178,274.0
259,SUR,Suriname,2015,74.2239,Suriname,287483.0,122.0,,
260,TTO,Trinidad and Tobago,2015,77.9299,Trinidad y Tobago,740577.0,68.0,2.024,9.0
261,URY,Uruguay,2015,81.3861,Uruguay,1759187.0,18.0,1.661,26.0
262,VCT,Saint Vincent and the Grenadines,2015,77.2594,San Vicente y las Granadinas,51944.0,64.0,,
263,VEN,Venezuela (Bolivarian Republic of),2015,77.2179,Venezuela,15341129.0,115.0,2.485,121.0
264,ARG,Argentina,2016,79.67,Argentina,22019065.0,40.0,1.954,254.0
265,ATG,Antigua and Barbuda,2016,80.6451,Antigua y Barbuda,47388.0,43.0,,
266,BHS,Bahamas,2016,76.9382,Bahamas,205736.0,72.0,,
267,BLZ,Belize,2016,76.6678,Belice,182514.0,39.0,,
268,BOL,Bolivia (Plurinational State of),2016,70.2591,Bolivia,5599297.0,161.0,1.891,104.0
269,BRA,Brazil,2016,77.8481,Brasil,105065188.0,62.0,2.14,1662.0
